username,follower_count,following_count,video_count,is_verified
brendanhughes64_,1108.0,91.0,65.0,False
brewdogofficial,9210.0,95.0,372.0,False
bricksandslides,99346.0,73.0,527.0,False
bridge1985,3305.0,53.0,393.0,False
briefednews,17.0,1.0,6.0,False
brightonhoveldr,1298.0,387.0,156.0,True
brindipak,6784.0,122.0,490.0,False
bristoluniversitypress,72.0,18.0,62.0,False
brit.vision.media,902.0,267.0,18.0,False
britainnia.reveni,778.0,31.0,16.0,False
britanniatimes,55485.0,2.0,2170.0,False
british.beer.pub,153.0,46.0,26.0,False
britishcomedyofficial,12510.0,39.0,143.0,False
britishdouble,14248.0,205.0,139.0,False
britishrevival,1385.0,3.0,33.0,False
britsmadebanter,105.0,174.0,62.0,False
brittok4u,16598.0,318.0,765.0,False
broadlandlibdems,83.0,6.0,23.0,False
broxbourne.labour,465.0,63.0,29.0,False
bryanbaker44,242859.0,9362.0,1826.0,False
bryonyssmith,131.0,71.0,16.0,False
bubblegum.stuff,2396.0,163.0,358.0,False
buddhaforeveryone,68148.0,50.0,860.0,False
bullsnosenews,68046.0,185.0,3582.0,False
burberry_barbie_1312,2883.0,3673.0,455.0,False
busayotwins,11890.0,518.0,109.0,False
businesshelpline,2355.0,91.0,460.0,False
butchboyfriend,99537.0,9999.0,439.0,False
butcher4south,4557.0,17.0,218.0,False
buzzer1234545,609.0,705.0,541.0,False
buzztalk,24.0,13.0,7.0,False
bye_bye_fatman,311247.0,15.0,3847.0,True
bylinetimes,26792.0,251.0,774.0,False
c4news,3332901.0,6.0,11033.0,True
c5news,50329.0,14.0,1425.0,False
c_changescotland,128.0,58.0,143.0,False
caesare.smith,5.0,6.0,11.0,False
calierogers,355.0,594.0,11.0,False
calumjames07,11827.0,2101.0,902.0,False
cambridgejudge,1654.0,83.0,190.0,True
cameronfor2029,32519.0,201.0,233.0,False
cameronswaranbell,15.0,3.0,40.0,False
cardiff_uni_cons,26.0,8.0,4.0,False
cardiffer,6.0,0.0,7.0,False
carl.carlos.carlito,379.0,484.0,243.0,False
carlingcol,17238.0,3394.0,2636.0,False
carljoys,7855.0,60.0,134.0,False
carmencymru,1268.0,170.0,64.0,False
caroline.clapper,66.0,1.0,1.0,False
casualwednesday,4329.0,653.0,1052.0,False
cathcartclp,474.0,389.0,48.0,False
catherine.fookes,1030.0,69.0,50.0,False
catherineedge03,659.0,510.0,420.0,False
cathleenc_,2083.0,1134.0,1016.0,False
catrin.wager.ba,147.0,38.0,18.0,False
cats.hauls,2756.0,5853.0,5666.0,False
cazzatime,435684.0,165.0,713.0,True
cgtneurope,1866508.0,85.0,8722.0,True
chaiitalks,13332.0,149.0,119.0,False
chairwizardtablealex,126.0,287.0,58.0,False
charlenenickolds,82948.0,784.0,100.0,False
charleyhullah,2467.0,1688.0,440.0,False
charliechalk12,22003.0,3683.0,3216.0,False
charlieraexxxx,11006.0,533.0,1813.0,False
charlotte.devaney5,223.0,51.0,40.0,False
charlotte4norwichnorth,170.0,35.0,8.0,False
charlottegay_,10841.0,404.0,256.0,False
charmatt0,1635.0,168.0,132.0,False
charmthevlogger,1612.0,12.0,159.0,False
chayreviews,98594.0,711.0,2658.0,False
chazfrancescasutton,9647.0,9890.0,2914.0,False
chefdave11,379844.0,1541.0,1317.0,False
chelsea.salt,270686.0,2499.0,3998.0,False
chesterpants,52.0,45.0,6.0,False
chez.mc,7740.0,207.0,429.0,False
chlobotic,1414.0,871.0,271.0,False
chloemay826,10278.0,4570.0,1231.0,False
chris.annous,51.0,21.0,3.0,False
chris_chambo_,38226.0,99.0,249.0,False
chris_rampage_revert,108634.0,2070.0,992.0,False
chriscork89,351077.0,6010.0,4566.0,False
chriscreformuk,894.0,18.0,12.0,False
chrisjamesnews,23.0,8.0,3.0,False
chriskunzler,437298.0,276.0,909.0,False
chrismccausland,44270.0,99.0,255.0,False
chrismitchell1989,2885.0,133.0,61.0,False
chrispypancake,708.0,3147.0,83.0,False
christina.aaliyah,143908.0,410.0,943.0,False
christoph24601,6366.0,3803.0,2374.0,False
christopherkerrnovelist,6193.0,1.0,261.0,False
chriswebbmp,2380.0,222.0,244.0,False
chubbynortherner,7429.0,651.0,569.0,False
cinnamonpicklegal,581.0,255.0,237.0,False
citizensadvice,168806.0,86.0,928.0,True
citizensuk,362.0,72.0,44.0,False
city_am,27354.0,0.0,1385.0,True
claire.hanna.mp,1365.0,35.0,73.0,False
claphamturk,16.0,37.0,18.0,False
